Player Name,Runs,BF,4s,6s,SR,Pos,Dismissal,Inns,Match Type,Opposition,Ground
Axar Patel,20,16,3,0,125,4,not out,1,T20I,Afghanistan,Dubai (DICS)
Axar Patel,20,11,4,0,181.81,3,lbw,1,T20I,Afghanistan,Bridgetown
Axar Patel,15,14,1,1,107.14,3,caught,1,T20I,Australia,Gros Islet
Axar Patel,46,45,6,2,102.22,5,bowled,1,Test,Bangladesh,Chattogram
Axar Patel,93,104,7,5,89.42,5,caught,2,Test,Bangladesh,Mirpur
Axar Patel,9,13,1,0,69.23,7,lbw,4,Test,Bangladesh,Mirpur
Axar Patel,36,24,4,2,150,3,caught,1,T20I,Bangladesh,North Sound
Axar Patel,146,111,19,4,131.53,5,caught,1,Test,England,Birmingham
Axar Patel,57,86,8,0,66.27,5,caught,3,Test,England,Birmingham
Axar Patel,26,15,4,1,173.33,2,caught,1,T20I,England,Birmingham
Axar Patel,1,5,0,0,20,2,caught,2,T20I,England,Nottingham
Axar Patel,0,5,0,0,0,4,caught,2,ODI,England,Lord's
Axar Patel,125,113,16,2,110.61,4,not out,2,ODI,England,Manchester
Axar Patel,6,4,1,0,150,6,run out,1,T20I,England,Adelaide
Axar Patel,4,6,0,0,66.66,3,caught,1,T20I,England,Providence
Axar Patel,36,26,3,2,138.46,3,not out,2,T20I,Ireland,New York
Axar Patel,6,13,1,0,46.15,2,caught,1,T20I,New Zealand,Mount Maunganui
Axar Patel,11,5,2,0,220,2,caught,2,T20I,New Zealand,Napier
Axar Patel,15,23,2,0,65.21,4,bowled,1,ODI,New Zealand,Auckland
Axar Patel,10,16,2,0,62.5,4,caught,1,ODI,New Zealand,Christchurch
Axar Patel,14,12,2,0,116.66,5,caught,1,T20I,Pakistan,Dubai (DICS)
Axar Patel,42,31,6,0,135.48,3,caught,1,T20I,Pakistan,New York
Axar Patel,27,14,3,2,192.85,2,caught,2,T20I,South Africa,Indore
Axar Patel,0,2,0,0,0,3,caught,1,T20I,South Africa,Bridgetown
Axar Patel,17,13,3,0,130.76,6,caught,1,T20I,Sri Lanka,Dubai (DICS)
Axar Patel,18,20,1,1,90,3,bowled,2,T20I,U.S.A.,New York
Axar Patel,14,12,2,0,116.66,4,caught,1,T20I,West Indies,Tarouba
Axar Patel,24,12,1,2,200,4,caught,1,T20I,West Indies,Basseterre
Axar Patel,33,26,3,1,126.92,4,not out,2,T20I,West Indies,Basseterre
Axar Patel,44,31,6,0,141.93,4,caught,1,T20I,West Indies,Lauderhill
Axar Patel,3,5,0,0,60,5,caught,1,T20I,Zimbabwe,Melbourne
Hardik Pandya,32,24,3,2,133.33,6,caught,1,T20I,Afghanistan,Bridgetown
Hardik Pandya,71,30,7,5,236.66,5,not out,1,T20I,Australia,Mohali
Hardik Pandya,9,9,1,0,100,5,caught,2,T20I,Australia,Nagpur
Hardik Pandya,25,16,2,1,156.25,5,not out,2,T20I,Australia,Hyderabad
Hardik Pandya,25,31,3,1,80.64,6,caught,2,ODI,Australia,Wankhede
Hardik Pandya,1,3,0,0,33.33,6,caught,1,ODI,Australia,Visakhapatnam
Hardik Pandya,40,40,3,1,100,6,caught,2,ODI,Australia,Chennai
Hardik Pandya,11,8,0,1,137.5,6,not out,2,ODI,Australia,Chennai
Hardik Pandya,27,17,1,2,158.82,6,not out,1,T20I,Australia,Gros Islet
Hardik Pandya,5,6,0,0,83.33,5,caught,1,T20I,Bangladesh,Adelaide
Hardik Pandya,50,27,4,3,185.18,6,not out,1,T20I,Bangladesh,North Sound
Hardik Pandya,29,44,2,0,65.9,6,caught,2,ODI,England,Lord's
Hardik Pandya,71,55,10,0,129.09,6,caught,2,ODI,England,Manchester
Hardik Pandya,63,33,4,5,190.9,5,hit wicket,1,T20I,England,Adelaide
Hardik Pandya,23,13,1,2,176.92,5,caught,1,T20I,England,Providence
Hardik Pandya,13,13,0,0,100,5,caught,1,T20I,New Zealand,Mount Maunganui
Hardik Pandya,30,18,3,1,166.66,5,not out,2,T20I,New Zealand,Napier
Hardik Pandya,28,38,3,0,73.68,6,bowled,1,ODI,New Zealand,Hyderabad
Hardik Pandya,54,38,3,3,142.1,6,caught,1,ODI,New Zealand,Indore
Hardik Pandya,21,20,1,1,105,5,caught,2,T20I,New Zealand,Ranchi
Hardik Pandya,15,20,1,0,75,6,not out,2,T20I,New Zealand,Lucknow
Hardik Pandya,30,17,4,1,176.47,5,caught,1,T20I,New Zealand,Ahmedabad
Hardik Pandya,33,17,4,1,194.11,6,not out,2,T20I,Pakistan,Dubai (DICS)
